artist_id,handle,location,country,birth_date,real_name,website,info,alive,deleted
1,Øistein Eide,,no,,Øistein Johan Eide,,"These days, Øistein is making dance music under the pseudonym [b]Boom Jinx[/b].",1,0
2,16 Beat,,DE,,Joachim Soppe,,,1,0
3,2pac,,de,,Giovanni Bagaccin,,,1,0
4,3wheel motion,,,,,,,1,0
6,4-mat,London,gb,,Matthew Simmonds,,Also known as 4Mat,1,0
7,505,Dresden,de,,Nils Feske,,"Hi, I create Atari musics and other things.",1,0
8,911,,nl,,Martyn Deykers,,Interview: http://amp.dascene.net/detail.php?view=17&detail=interview,1,0
11,Abhoth,,,,,,,1,0
12,Acarid,,,,,,,1,0
14,Acidbeat,,es,,Javier Arredondo Valiente,,"[url]http://escena.org/users/view/27/[/url]
[url]https://twitter.com/acidbeat/status/304676420075003904/photo/1[/url]",1,0
15,Acidline,,de,,,,,1,0
17,Acrid,,,,,,,1,0
18,Acumen,,fi,,Milan Kolarovic,,,1,0
19,Adamj,,,,,,,1,0
20,Addic303,,,,,,,1,0
21,Adept,,,,,,,1,0
22,Aeroflot,,fi,,Teemu Kiiskilä,,,1,0
23,Age21,,,,,,,1,0
24,Agemixer,,fi,,Ari Yliaho,,,1,0
26,Airon,,de,,Anthony Oetzmann,,,1,0
27,Aisth,,fi,,Jugi Kaartinen & Alison Doolittle,,Aisth is an electronic music project by Finnish producer and composer Jugi Kaartinen and a Finnish-American vocalist and songwriter Alison Doolittle.,1,0
29,alc'o hole,,de,,Jens Gonska,,,1,0
31,Alexel,,fr,,Alexandre Liverneux,,,1,0
32,Alexg,,,,,,,1,0
33,Alf,,se,,Johan Koskela,,http://amp.dascene.net/detail.php?detail=modules&view=170,1,0
35,Alien,Tampere,fi,,Sami Arola,,"""One of co-founders of the independent game studio Ookoohko (Ookoo + hko = Okay + ish). Currently a programmer nowadays.""",1,0
36,Alkama,,fr,,Mathieu Moncharmont,,,1,0
38,Allister Brimble,,gb,,,,,1,0
39,Alpha [CR],,cr,,Marko Sekulic,,,1,0
40,Altemark,,se,,Mikael,,,1,0
41,Al Lowe,,us,,,,,1,0
42,Amgorb,,ru,,,,,1,0
43,Amigasynth,,fr,,,,,1,0
44,aMUSIC,Athens,gr,,Sotiris Varotsis,,,1,0
45,Anak,,,,,,,1,0
46,Anders Akerheden,,se,,Per Anders Henry Åkerheden Arrenius,,,1,0
47,Anders Hamre,,no,,,,,0,0
48,Andreas Karlsson,,,,,,,1,0
50,Andreas Viklund,,se,,Viktor Andreas Viklund,,,1,0
51,Andrew Barnabas,,gb,,,,"Also used to be member of (not in list): AM/FM, Dens Design, Ecstasy (XTC), The Pornos",1,0
52,Andromeda,,se,,Morgan Norrestam,,,1,0
54,Animal,,se,,Fredrik Liljegren,,,1,0
55,Aon4,,,,,,"Not one artist, but a group of artists: [url]http://old.exotica.org.uk/tunes/pages-full/AON-ArtOfNoise.html[/url]",1,1
56,Approx,,,,,,,1,0
57,April,,se,,Maria Dahl,,It is said that Loonie used this fake nickname to be able to enter Music Contest 5 with two songs.,1,0
58,Aquafresh,,gb,,Simon Bostock,,,1,0
59,Aragorn,,de,,David Lenaerts,,,1,0
60,ArchAngel,,se,,Nils Ingvarsson,,,1,0
61,Arclight,,us,,Paul Zyla,,,1,0
62,Arctic Breeze,,,,,,,1,0
63,Area 51,,se,,Dan Nyman,,,1,0
64,Arnola,,,,,,,1,0
65,Arpeggiator,,,,,,,1,1
66,Arrakis,,fr,,,,,1,0
68,Audiomonster,,fr,,Raphaël Gesqua,,,1,0
70,Aurasil,,,,,,,1,0
71,Autumns Child,,fi,,Petri Robert Postila,,,1,0
72,Avalanche,,,,,,,1,0
73,Avancada,,,,,,,1,0
74,Av,,,,,,,1,0
75,Awesome,,es,,Victor Vergara Luján,,,1,0
76,Axel,,ch,,Alexander Strohm,,,1,0
77,Mentric,,de,,Axel Melzener,,,1,0
78,Axeman,,,,,,,1,0
79,Aymes,,gb,,Andrew Yates,,,1,0
80,Azazel,,se,,Markus Alakangas,,,1,0
81,Azo,,us,,Jesse Worley,,,1,0
84,Bacter,,il,,Itzik Shemesh-Sarel,,,1,0
86,Baggio,,se,,Robert Hogberg,,,1,0
87,Baktery,,,,,,,1,0
88,BAM,,se,,Niklas Johansson,,,1,0
89,Banana,,de,,Christof Mühlan,,,1,0
90,Banana.burn hollywood,,,,,,,1,1
91,Baz,,gb,,Barry Leitch,,,1,0
92,Bartesek,,pl,,Bartosz Niedzwiecki,,,1,0
93,Bart Klepka,,pl,,,,,1,0
94,Bart Roijmans,,nl,,,,"Bart Roijmans is a freelance sound designer with over 16 years of experience in composing soundtracks for computergames on various platforms. Besides a composer, he's also an experienced voice actor and sound effect designer.

Early 1990, Roijmans began composing music for games and graphic demos for the MSX system as a hobby. Through mutual friends he got acquainted with his current employer Engine Software, who were also active in the MSX-scene at that time. In 1992 he finished his first game soundtrack for a non-commercial project.

Not particularly looking for a job in the games-industry he went to college studying computer science. Meanwhile Engine Software turned professional in 1995, and was still looking for a sound designer. After his graduation in 1999 Roijmans joined the Engine Software team, and has been working there ever since. He has worked on the soundtracks of virtually every Engine Software title on PC/CD-ROM, Smartphone, Pocket-PC, SNES, Gameboy Color, Gameboy Advance, Nintendo DS, Nintendo Wii and Sony PSP. Covering many game genres as well as musical styles.

In 2006 he started working as a parttime freelancer on soundtracks for Nintendo DS games, as well as the audio post production of large localization projects.

Besides being a dedicated composer, Roijmans is also a passionate gamer. This combined with his extensive work experience gives him insight on what the publisher or end-user wants to hear.",1,0
95,Basehead,,us,,Dan Gardopée,,,1,0
97,Baseline,,,,,,,1,0
98,Bass,,de,,Patrick Lindsey,,,1,0
99,Bassline,,gb,,,,,1,0
100,Bc,,no,,Ørjan Hojem,,,1,0
101,Beacon,,,,,,,1,0
102,BeaT,,us,,Seth Peelle,,,1,0
103,Beathawk,,fi,,Sami A. Kiviniemi,,,1,0
104,Beathoven,,se,,Karl Ruben Pettersen,,,1,0
105,Beaver,,ru,,,,,1,0
106,Beek,,us,,Chris Hampton,,"""I've been making chiptunes and tracker music since the mid 1990's since my introduction to the demoscene, with various periods of varying productivity. i hope you enjoy these ""8bit"", ""amiga"", ""demoscene"", ""tracker"" or ""cracktro"" sounds, whatever you may choose to call them this week ;) -beek (aka beekeeper, b-e-e-k, beekeepr, beekeepsta, bizzeek, or chris j. hampton)"" - Taken from b-e-e-k's soundcloud",1,0
107,benJam,,de,,Benjamin Metz,,,1,0
108,Benji,,fr,,,,,1,0
109,Bent Byte and Band,,,,,,,1,0
110,Ben Daglish,Derbyshire,gb,,,,"Ben Daglish (born 1966 in London, United Kingdom) is a composer and musician. Originally from London, his parents moved to the steel city of Sheffield when Ben was one. Daglish is known for creating many soundtracks during the 1980s for home computer games, including such Commodore 64 hits as The Last Ninja, Trap, and Deflektor. Daglish teamed up with fellow C64 musician and prolific programmer, Tony Crowther, forming W.E.M.U.S.I.C., which stood for ""We Make Use of Sound In Computers"".

Daglish lives in Derbyshire where he still composes, plays and performs in a number of UK bands, including Loscoe State Opera. He also regularly performs with violinist madfiddler and the band SID80s at retro computer game events such as Back In Time Live and Retrovision. He has also performed with Commodore 64 revival band PRESS PLAY ON TAPE together with Rob Hubbard. He is a fan of the late Ronnie Hazlehurst, a prolific composer for TV.

(excerpt from Wikipedia)",1,0
112,Betweenzone,,,,,,,1,0
113,Big Bear,,ch,,Matthias Scheidegger,,,1,0
114,Big Alec,,de,,Gunnar Gaubatz,,"""Gunnar Gaubatz (Big Alec) is one of the classic composers on the Atari ST and raised the level of Chipsound on the YM a bit higher in the early nineties. He was very eager with producing accurate chip-drums which sounds nearly like sampled. This was before the scene opened up and new programming-techniques evolved. His works are still outstanding in comparison. With ""Prophecy"" he has managed to incorporate new techniques, he called it his crown-jewel, his magnus-opus.""

Microzeit.",1,0
115,Big Daddy,,de,,,,,1,0
116,Big Jim,,gb,,James Storer,,,1,0
117,Biotic,,,,,,,1,0
118,Bissm,,,,,,,1,0
119,Bitboy,,,,,,,1,0
120,BIT,,no,,,,,1,0
121,BitArts,near Köln,de,,Norbert Röcher,,,1,0
123,Blackspawn,,,,,,,1,0
124,Blackstar,,,,,,,1,0
125,Blackthorne,,de,,Michael Poldner,,,1,0
126,Black Fox,,au,,,,,1,0
127,Black Shadow,,,,,,,1,0
128,Bluejooz,,uk,,Vini Whittingham,,,1,0
129,Blue Silence,,fr,,Christophe Cassier,,,1,0
130,Blue Zone,,sk,,Matej Bartos,,,1,0
131,Boomerang,,se,,,,,1,0
