song_id,group_id
1,27
3,97
12,19
24,14
30,14
31,14
35,42
37,14
38,14
46,14
57,14
61,14
64,14
70,14
71,14
73,14
76,14
76,173
78,14
80,14
84,14
89,14
94,14
106,14
109,14
121,97
147,621
155,172
155,338
169,618
172,102
184,3
184,245
186,3
186,245
187,3
187,245
242,231
252,275
295,352
341,163
343,23
345,257
348,14
352,163
432,24
457,25
465,503
466,107
491,29
499,29
520,317
579,231
606,486
611,19
612,19
613,19
614,67
615,67
616,67
617,19
618,19
661,25
762,158
786,266
802,205
818,104
855,238
868,51
881,476
894,314
895,314
898,314
910,617
911,656
918,562
918,463
936,16
953,119
955,119
960,119
1048,120
1051,120
1054,111
1063,165
1069,120
1108,111
1118,120
1132,92
1138,92
1140,165
1140,92
1207,526
1210,254
1212,192
1215,192
1216,254
1221,254
1222,255
1231,178
1267,28
1270,28
1322,490
1328,60
1329,415
1329,60
1349,180
1350,29
1351,510
1353,446
1355,446
1356,446
1371,143
1377,143
1382,143
1385,143
1475,3
1531,617
1543,192
1611,192
1638,192
1675,216
1676,216
1677,216
1678,216
1680,165
1694,111
1698,324
1706,463
1780,23
1869,440
1869,441
1870,551
1875,550
1891,202
1892,104
1919,31
1970,24
1978,552
1990,24
1993,24
1994,24
2007,24
2009,24
2012,24
2026,24
2040,24
2048,24
2052,24
2062,24
2067,24
2075,24
2082,24
2083,24
2084,24
2098,24
2101,24
2104,24
2108,143
2111,24
2119,24
2123,24
2142,94
2148,94
2159,207
2160,94
2172,94
2211,564
2221,564
2225,564
2280,564
2287,346
2341,67
2342,67
2345,67
2351,67
2353,67
2454,160
2477,21
2492,21
2540,525
2548,174
2557,28
2560,202
2561,187
2564,61
2565,174
2614,220
2615,233
2624,348
2627,251
2645,61
2645,559
2653,200
2655,200
2657,200
2658,200
2663,200
2664,200
2665,200
2666,200
2668,200
2669,39
2669,129
2682,24
2694,24
2696,24
2707,332
2708,556
2714,332
2716,332
2722,332
2747,67
2751,553
2763,437
2765,256
2802,28
2811,577
2820,104
2837,875
2838,875
2851,158
2852,158
2853,158
2854,158
2855,158
2856,158
2857,158
2863,124
2864,3
2864,245
2865,80
2867,80
2879,698
2885,203
2888,3
2888,245
2912,28
2921,540
2922,540
2932,546
2934,92
2937,89
2941,546
2943,92
2954,540
3006,90
3009,3
3009,245
3013,92
3014,540
3038,92
3061,39
3086,541
3090,504
3120,187
3154,15
3176,638
3177,638
3178,638
3179,638
3180,638
3181,638
3182,638
3183,638
3184,638
3185,638
3186,638
3187,638
3188,638
3189,638
3190,638
3191,638
3192,638
3220,112
3223,112
3230,112
3244,167
3253,71
3270,107
3287,717
3288,717
3290,2
3290,83
3294,310
3295,310
3296,310
3298,310
3333,390
3339,27
3347,97
3351,250
3351,97
3352,250
3352,97
3359,97
3361,97
3362,97
3368,97
3376,14
3377,466
3380,19
3382,19
3384,489
3388,19
3389,466
3390,19
3392,19
3394,466
3396,19
3397,19
3398,19
3400,19
3403,19
3404,19
3407,19
3412,19
3413,466
3482,116
3485,114
3488,114
3488,23
3492,21
3504,114
3512,114
3512,23
3520,3
3520,245
3529,23
3542,114
3544,114
3544,97
3551,114
3551,23
3555,3
3555,114
3555,97
3555,245
3560,114
3560,23
3561,114
3561,23
3562,114
3562,97
3563,3
3563,245
3570,114
3571,114
3571,23
3594,21
3605,192
3606,192
3607,102
3608,192
3609,192
3610,192
3614,14
3615,14
3620,25
3621,56
3628,3
3628,245
3631,113
3632,113
3729,67
3730,67
3737,348
3738,249
3739,249
3746,348
3746,228
3755,222
3756,224
3761,5
3766,5
3767,5
3771,5
3774,346
3774,462
3775,346
3775,462
3776,346
3776,462
3777,346
3778,346
3779,346
3780,346
3850,220
3867,420
3870,103
3907,644
3908,56
3909,31
3911,320
3913,144
3915,56
3916,56
3917,56
3921,56
3928,614
3937,56
3943,93
3950,167
3994,158
4018,156
4019,156
4027,158
4084,28
4094,29
4094,156
4105,596
4151,158
4163,156
4170,158
4173,159
4174,121
4175,158
4194,158
4205,23
4268,218
4269,218
4279,535
4357,30
4358,30
4473,27
4474,27
4475,27
4480,28
4486,28
4486,92
4491,200
4495,200
4503,92
4510,200
4510,92
4510,83
4516,200
4517,200
4523,28
4535,200
4580,352
4581,324
4616,639
4621,574
4622,173
4635,98
4695,15
4706,15
4715,15
4720,15
4727,51
4727,103
4745,15
4746,51
4765,463
4766,60
4794,547
4795,2
4804,256
4832,31
4838,455
4875,320
4876,320
4882,202
4885,203
4887,416
4889,19
4901,201
4901,193
4902,158
4903,202
4904,19
4905,19
4906,158
4907,158
4909,201
4909,202
4910,622
4959,117
4960,112
4971,112
4972,112
4973,107
4978,117
4978,734
4983,112
4984,112
4985,112
4987,112
4989,112
4993,112
5044,2
5117,83
5124,16
5138,103
5174,655
5175,15
5185,655
5211,317
5231,14
5236,14
5296,56
5300,453
5303,453
5314,476
5318,167
5368,14
5381,14
5382,14
5387,14
5397,14
5397,128
