name,deleted,hidden_profile,artist_id,country,location,info_line,member_since,upload_count,vote_count,oneliner_count,last_login,ultimate_song_id,avatar_path
0A000h,0,0,,gl,,,2010-09-26,0,221,132,2017-03-31,,
0A00h,1,0,,,,,2009-01-01,0,0,0,2013-01-01,,
0D1N,1,,,kz,,,,0,0,,2011-11-17,,
0x4e71,0,0,,nl,,,2009-05-18,0,20,0,2014-05-24,,
0x7e7e,0,0,,nl,,,2010-07-25,0,17,0,2010-11-18,,
2ker,0,0,,pl,,,2014-11-06,0,14,1,2017-10-10,,
2t2mTheM,0,0,1202,de,"Wermelskirchen, Germany",,2016-12-17,3,45,2,2018-01-29,7008,
3flight,0,0,,ru,,,2011-04-20,0,17,0,2011-12-03,,
450,0,0,,us,,,2012-11-28,0,0,0,2013-01-06,,
503,0,0,,ru,,,2013-01-29,0,0,0,2013-01-29,,
514d3,0,0,,au,,,2013-10-08,0,6,0,2017-12-06,,
5972,0,0,,de,,5972 - my old ojuice/necta id number :),2010-05-19,0,4,0,2010-05-19,,
5k,0,0,,Germany,,,2013-08-13,0,2,0,2013-08-13,,
5tarbuck,0,0,1916,de,,,2009-07-19,13,5,0,2011-03-14,,
64odore,0,0,,pl,,,2014-01-17,5,93,0,2017-05-07,,
65c02,0,0,,fr,,,2011-04-06,0,0,0,2012-02-09,,
7tux,0,0,,br,,,2009-11-17,0,2,0,2012-11-18,,
870663,0,0,,de,,,2009-12-22,0,2,0,2010-06-11,,
8823,0,0,,,,,2009-03-08,0,25,0,2011-03-03,,
8bitbubsy,0,0,3935,no,,moo,2009-12-07,9,26,505,2017-09-09,,/static/media/avatars/avatar_hobbes_100x100.jpg
8bitvortex,0,0,,us,,,2011-11-06,0,28,0,2012-10-20,23071,/static/media/avatars/icon.png
9fingers,0,1,,,,,,0,1,,2013-01-01,,
_,1,,,,,,,0,0,,2013-05-08,,
_Adoru_,0,0,,fr,,,2012-07-27,0,1,0,2012-07-27,,
_Aeko_,0,0,4910,catalonia,Mataró (Barcelona),,2009-01-12,2,265,25,2017-11-29,,/static/media/avatars/feo.jpg
_erOS_,0,0,,pl,,,2009-10-01,0,2,0,2011-06-04,,
_wally,0,0,,es,,NO CARRIER,2008-12-04,9,342,11,2018-01-14,,/static/media/avatars/avatar_121897.jpg
A120068030,0,0,,gb,,,2017-01-30,0,29,364,2018-04-07,,
aaai,0,0,,,,,2008-11-01,32,1387,0,2013-01-25,,
Aardvark,0,0,,gb,,,2011-03-17,16,29,0,2018-04-10,,
aart3k,0,0,,pl,,,2014-09-01,0,1,0,2014-09-01,,
Aasemoon,0,0,,ca,"Toronto, Canada",Spice must flow....,2009-05-24,0,3,0,2010-04-11,,/static/media/avatars/Logo60.jpg
abaddon,0,0,1806,fi,kerava,,2011-03-13,76,158,0,2015-10-19,,
abcdzyz,0,0,,cn,,,2011-02-08,0,0,0,2011-09-03,,
abel,0,0,,se,,Electra rules!,2011-09-08,0,0,0,2011-09-12,,
Abrahaz,0,0,,ru,,,2011-12-08,63,172,14,2018-01-04,,
abscess,0,0,,,,,2009-05-18,1,5,0,2009-08-11,,
AC,0,0,,dk,"Skærbæk, Denmark",,2009-12-08,0,8,0,2009-12-08,,
Acarvalho,0,0,,br,,,2014-01-18,0,0,0,2014-01-18,,
Accidental,0,0,,eu,,,2015-09-03,12,15432,1200,2018-04-20,,
accumbens,0,0,,fr,,,2010-09-18,0,6,0,2014-05-13,,
AceTonic,0,0,,ru,,,2011-07-07,0,1,0,2013-08-20,,
Achez,0,0,,ru,,,2009-10-30,0,0,0,2011-11-05,,
Achmed,0,0,,at,,,2014-08-11,0,0,0,2014-08-11,,
Achtwerk,0,0,,at,,,2015-02-03,0,28,2,2016-03-14,,
AcidBeast,0,1,,au,,,,0,0,,2013-01-01,,
Acidizer69,0,0,,pl,Puławy,,2012-10-23,1,66,0,2013-01-02,7471,/static/media/avatars/Yin-yang-animated.gif
acidline,0,0,15,de,Cologne,Earworms 4 Everybody!,2009-02-20,128,296,0,2011-05-28,,
AciDnB,0,0,,hu,,,2013-07-20,0,0,0,2013-07-20,,
acmfan,0,0,5359,se,,,2013-04-09,5,1,0,2013-04-09,,
AdamBast,0,0,,hu,,,2009-12-09,0,4,0,2012-05-09,8757,
AdamK,0,0,,pl,,,2011-08-09,0,0,0,2012-12-20,,
adcockm,0,0,,us,,,2012-06-12,0,0,0,2012-06-12,,
addicted_to_c64,0,0,,de,,C64 addict :),2010-01-16,0,82,0,2011-04-26,7511,/static/media/avatars/avatar223_1.gif
adeii,0,0,,rs,,,2013-03-28,0,0,0,2013-03-28,,
AdeptApril,0,0,,de,"Wisconsin, USA",,2016-11-23,0,5,0,2017-10-10,2746,
adi,0,0,,ch,,,2010-01-11,0,15,0,2011-08-31,,
admax88,0,0,,ca,,,2008-12-02,1,2,0,2018-04-13,,
